timestamp_utc,event,x,y,active_window_title,explorer_path,uia_control_type,uia_control_name,ocr_text,label
2025-11-29T08:13:26.659668,phishing_alert,592,605,URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:13:42.132176,phishing_alert,671,794,Weekly Coursera Support & Community Digest for Google Cybersecurity Community - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Weekly Coursera Support & Community Digest for Google Cybersecurity Community - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:42:41.221512,phishing_alert,784,298,Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:42:56.287101,phishing_alert,649,291,Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome""",1
2025-11-29T08:43:13.254636,phishing_alert,541,380,Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T09:51:51.114705,phishing_alert,716,390,Inbox (485) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (485) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T09:52:06.419479,phishing_alert,445,466,Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome""",1
2025-11-29T10:17:10.467358,phishing_alert,827,340,Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (483) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T10:17:26.212538,phishing_alert,610,818,Weekly Coursera Support & Community Digest for Google Cybersecurity Community - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Weekly Coursera Support & Community Digest for Google Cybersecurity Community - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T10:17:42.041497,phishing_alert,81,85,Order #7290 confirmed - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Order #7290 confirmed - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T10:17:58.335066,phishing_alert,475,499,Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Your Account Has Been Locked - affafahmad79@gmail.com - Gmail - Google Chrome""",1
2025-11-29T10:32:34.471682,phishing_alert,0,0,URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T10:33:24.939750,phishing_alert,0,0,URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome""",0
